PST seto ver	 	 	 Solved Bus Data	 	 	 
	 	 	 	 	 Generation	 Load
 Bus	 Voltage	 Angle	 Reative	 Real	 Reactive
1 	 1.0474 	 -8.44 	 0.00 	 0.00 	 0.00 	 -0.00 
2 	 1.0487 	 -5.75 	 0.00 	 0.00 	 0.00 	 -0.00 
3 	 1.0302 	 -8.60 	 0.00 	 0.00 	 322.00 	 2.40 
4 	 1.0039 	 -9.61 	 0.00 	 0.00 	 500.00 	 184.00 
5 	 1.0053 	 -8.61 	 0.00 	 0.00 	 -0.00 	 -0.00 
6 	 1.0077 	 -7.95 	 0.00 	 0.00 	 0.00 	 -0.00 
7 	 0.9970 	 -10.12 	 0.00 	 0.00 	 233.80 	 84.00 
8 	 0.9960 	 -10.62 	 0.00 	 0.00 	 522.00 	 176.00 
9 	 1.0282 	 -10.32 	 0.00 	 0.00 	 -0.00 	 -0.00 
10 	 1.0171 	 -5.43 	 0.00 	 0.00 	 0.00 	 -0.00 
11 	 1.0127 	 -6.28 	 0.00 	 0.00 	 -0.00 	 -0.00 
12 	 1.0001 	 -6.24 	 0.00 	 0.00 	 7.50 	 88.00 
13 	 1.0143 	 -6.10 	 0.00 	 0.00 	 0.00 	 -0.00 
14 	 1.0117 	 -7.66 	 0.00 	 0.00 	 -0.00 	 -0.00 
15 	 1.0154 	 -7.74 	 0.00 	 0.00 	 320.00 	 153.00 
16 	 1.0318 	 -6.19 	 0.00 	 0.00 	 329.00 	 32.30 
17 	 1.0335 	 -7.30 	 0.00 	 0.00 	 -0.00 	 -0.00 
18 	 1.0309 	 -8.22 	 0.00 	 0.00 	 158.00 	 30.00 
19 	 1.0499 	 -1.02 	 0.00 	 0.00 	 -0.00 	 -0.00 
20 	 0.9912 	 -2.01 	 0.00 	 0.00 	 628.00 	 103.00 
21 	 1.0318 	 -3.78 	 0.00 	 0.00 	 274.00 	 115.00 
22 	 1.0498 	 0.67 	 0.00 	 0.00 	 0.00 	 0.00 
23 	 1.0448 	 0.47 	 0.00 	 0.00 	 247.50 	 84.60 
24 	 1.0373 	 -6.07 	 0.00 	 0.00 	 308.60 	 -92.20 
25 	 1.0576 	 -4.36 	 0.00 	 0.00 	 224.00 	 47.20 
26 	 1.0521 	 -5.53 	 0.00 	 0.00 	 139.00 	 17.00 
27 	 1.0377 	 -7.50 	 0.00 	 0.00 	 281.00 	 75.50 
28 	 1.0501 	 -2.01 	 0.00 	 0.00 	 206.00 	 27.60 
29 	 1.0499 	 0.74 	 0.00 	 -0.34 	 283.50 	 26.90 
30 	 1.0475 	 -3.33 	 250.00 	 146.18 	 0.00 	 0.00 
31 	 0.9820 	 0.00 	 520.81 	 198.26 	 9.20 	 4.60 
32 	 0.9831 	 2.57 	 650.00 	 205.15 	 0.00 	 0.00 
33 	 0.9972 	 4.19 	 632.00 	 109.92 	 0.00 	 0.00 
34 	 1.0123 	 3.17 	 508.00 	 165.77 	 0.00 	 0.00 
35 	 1.0493 	 5.63 	 650.00 	 212.42 	 0.00 	 0.00 
36 	 1.0635 	 8.32 	 560.00 	 101.18 	 0.00 	 0.00 
37 	 1.0278 	 2.42 	 540.00 	 0.46 	 0.00 	 0.00 
38 	 1.0265 	 7.81 	 830.00 	 23.11 	 0.00 	 0.00 
39 	 1.0300 	 -10.05 1000.00 	 88.29 	 1104.00 	 250.00 
bus  voltage      ang     real        reac     real       reac
						   gen                  load
